col_1,col_2,col_3,col_4
[1:0701:001],,,
,e301,주인공,"(밝게) 안녕하세요, 여러분! 저는 이번 서바이벌에 참가하게 된 주인공입니다. 잘 부탁드립니다!"
,,유아라,(조용히) 안녕하세요. 저는 유아라라고 해요. 음악을 좋아해서 이번 기회가 너무 기대돼요.
,,박지원,(활기차게) 안녕! 나는 박지원이야. 이번 서바이벌에서 꼭 좋은 성과를 내고 싶어!
,,김유진,(밝게 웃으며) 안녕하세요! 저는 김유진이에요. 요리도 좋아하고 사람들과 어울리는 것도 좋아해요. 잘 부탁드려요!
,,주인공,모두 각자 개성이 넘치네요! 그럼 우리 다 함께 힘내서 이번 서바이벌을 잘 해봅시다!
,,박지원,"(의욕 넘치게) 맞아, 우리 다 같이 열심히 하자! 누구든 도울 일이 있으면 말해줘. 같이 하면 더 잘할 수 있을 거야!"
,,유아라,(살짝 미소 지으며) 저도 많이 배우고 싶어요. 같이 연습할 때 도와주시면 감사하겠습니다.
,,김유진,(웃으며) 저는 여러분들께 요리도 해드릴 수 있어요! 맛있는 거 먹으면서 힘내요!
,,주인공,(웃으며) 유진 씨가 요리를 잘한다고 들었어요. 나중에 꼭 맛볼 수 있으면 좋겠네요. 
,,주인공,그럼 오늘 첫날이니까 간단히 자기소개도 하고 서로 알아가는 시간을 가져볼까요?
,,박지원,(신나게) 좋아! 내가 먼저 할게. 나는 스포츠를 좋아하고 특히 축구를 잘해. 
,,박지원,운동을 많이 해서 체력에는 자신 있어. 그리고 춤도 좋아해!
,,유아라,"(부드럽게) 저는 음악을 정말 좋아해요. 피아노와 노래를 특히 좋아하고, 나중에 프로듀서가 되는 게 꿈이에요. "
,,유아라,"무대에 서는 건 아직 좀 떨리지만, 열심히 해볼게요."
,,김유진,"(활발하게) 저는 요리를 정말 좋아해요! 다양한 요리를 시도해보는 게 즐겁고, 사람들을 웃게 만드는 것도 좋아해요. "
,,김유진,나중에 제 요리 프로그램을 갖는 게 목표에요!
,,주인공,(따뜻하게) 모두들 각자 멋진 목표를 가지고 있네요. 저도 열심히 해서 좋은 결과를 얻고 싶어요. 우리 서로 도와가면서 최선을 다해요!
,,박지원,"(힘차게) 응! 우리 같이 힘내자! 자, 그럼 첫 연습은 뭐부터 할까?"
,,유아라,(살짝 긴장하며) 음... 우리 먼저 기본적인 스트레칭부터 하고 시작할까요? 긴장을 좀 풀어야 할 것 같아요.
,,김유진,(밝게) 좋아요! 스트레칭 후에는 다 같이 노래 연습도 해봐요. 아라 씨가 피아노 연주도 해주면 좋을 것 같아요!
,,주인공,"(웃으며) 그럼 스트레칭부터 시작하죠. 아라 씨, 피아노 연주 준비되면 말해줘요. 다 같이 즐겁게 연습해봐요!"
[2:0705:005],,,
